idnum, state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
3886,MA,MA,25,02670, 7,1,1,2,Y, , 3, 1,  7,1800,1800,040488,040488,     0.5,    22.8,   538.563930,0,0,  9,ESSEX               
3887,MA,MA,25,01072, 2,1,0,4,Y, , 5, 1, 42,0700,0700,032888,033088,     2.7,     9.2,   625.019977,0,0, 11,FRANKLIN            
3888,MA,MA,25,01072, 2,1,0,4,Y, , 4, 1, 73,1030,1030,032688,032888,     0.8,    25.3,   628.910680,0,0, 11,FRANKLIN            
3889,MA,MA,25,01301, 2,1,0,4,Y, , 1, 1, 32,1400,1400,033188,040488,     1.9,    10.4,   649.239482,0,0, 11,FRANKLIN            
3890,MA,MA,25,01301, 2,1,0,4, , , 5, 1, 68,2300,0000,032388,032588,     1.2,    44.5,   625.019977,0,0, 11,FRANKLIN            
3891,MA,MA,25,01301, 2,1,0,4,Y, , 3, 1, 55,2100,1500,041288,041588,     0.7,    46.5,   596.075068,0,0, 11,FRANKLIN            
3892,MA,MA,25,01301, 2,1,0,4,Y, , 5, 1, 88,1400,1401,040488,040488,     1.1,    23.3,   625.019977,0,0, 11,FRANKLIN            
3893,MA,MA,25,01301, 2,1,0,4,Y, , 5, 1, 76,1600,1600,032588,032788,     4.7,     5.6,   625.019977,0,0, 11,FRANKLIN            
3894,MA,MA,25,01301, 2,1,0,4,Y, , 4, 1,  3,1910,1215,032488,032788,     9.3,     4.3,   628.910680,0,0, 11,FRANKLIN            
3895,MA,MA,25,01301, 2,1,0,2,Y, , 3, 1,  1,1500,1540,032388,032588,     3.3,     9.9,   596.075068,0,0, 11,FRANKLIN            
3896,MA,MA,25,01330, 2,1,1,1, , , 1, 1, 45,1000,1030,031988,032188,     0.9,    45.9,   649.239482,0,0, 11,FRANKLIN            
3897,MA,MA,25,01339, 2,1,1,3,Y, , 3, 1, 72,1830,1830,032288,032488,     0.0,     0.0,   596.075068,0,0, 11,FRANKLIN            
3898,MA,MA,25,01340, 2,5,1,3,Y, , 5, 1, 45,1800,1800,031088,031288,     1.1,    21.3,   625.019977,0,0, 11,FRANKLIN            
3899,MA,MA,25,01349, 2,1,0,4,Y, , 5, 1, 44,1000,1000,031388,031788,     5.2,     6.4,   625.019977,0,0, 11,FRANKLIN            
3900,MA,MA,25,01349, 2,1,0,4,Y, , 1, 1, 40,0700,0700,031988,032188,     4.2,    15.5,   649.239482,0,0, 11,FRANKLIN            
3901,MA,MA,25,01349, 2,1,0,0,Y, , 4, 1, 49,1045,1045,032988,033188,    12.6,     4.7,   628.910680,0,0, 11,FRANKLIN            
3902,MA,MA,25,01349, 2,1,0,4,Y, , 2, 1, 70,1607,0755,032588,032888,     9.8,     3.0,   579.396874,0,0, 11,FRANKLIN            
3903,MA,MA,25,01351, 2,1,0,4,Y, , 2, 1, 48,1800,1800,031488,031688,    10.1,     4.5,   579.396874,0,0, 11,FRANKLIN            
3904,MA,MA,25,01355, 2,1,0,4,Y, , 1, 1, 95,0935,0937,040488,040488,     1.3,    32.2,   649.239482,0,0, 11,FRANKLIN            
3905,MA,MA,25,01360, 2,1,0,4,Y, , 1, 1, 79,1445,1455,040488,040488,     1.4,    14.5,   649.239482,0,0, 11,FRANKLIN            
3906,MA,MA,25,01364, 2,1,0,4,Y, , 3, 1, 40,1950,1950,031888,032088,     1.5,    53.5,   596.075068,0,0, 11,FRANKLIN            
3907,MA,MA,25,01370, 2,1,0,4,Y, , 3, 1, 88,1330,1930,032688,032988,     1.0,    19.5,   596.075068,0,0, 11,FRANKLIN            
3908,MA,MA,25,01370, 2,5,1,3,N, , 4, 1, 84,1000,1000,032688,032888,     0.6,    30.2,   628.910680,0,0, 11,FRANKLIN            
3909,MA,MA,25,01373, 2,1,0,0,Y, , 1, 1, 35,0900,0900,032388,032588,     4.6,     6.2,   649.239482,0,0, 11,FRANKLIN            
3910,MA,MA,25,01373, 2,1,0,4,Y, , 5, 1,105,2000,1910,033088,040488,     0.0,     0.0,   625.019977,0,0, 11,FRANKLIN            
3911,MA,MA,25,01375, 2,1,0,4,Y, , 3, 1, 43,1745,1845,031888,032088,     1.0,    38.7,   596.075068,0,0, 11,FRANKLIN            
3912,MA,MA,25,02349, 2,5,0,0,Y, , 1, 1, 21,1712,1712,031288,031488,     1.9,    23.7,   649.239482,0,0, 11,FRANKLIN            
3913,MA,MA,25,33900, 2,1,0,7,Y, , 1, 1, 64,1100,1100,040488,041188,     1.7,    11.4,   649.239482,0,1, 11,FRANKLIN            
3914,MA,MA,25,01001, 4,2,0,0,Y, , 3, 1, 35,1920,1745,032188,032388,     0.6,    44.0,   596.075068,0,0, 13,HAMPDEN             
3915,MA,MA,25,01001, 4,1,0,4,Y, , 1, 1, 56,1145,1200,032688,032888,     1.7,    16.6,   649.239482,0,0, 13,HAMPDEN             
3916,MA,MA,25,01001, 4,1,0,7,Y, , 5, 1, 61,0730,0713,032188,032388,     0.8,    32.6,   625.019977,0,0, 13,HAMPDEN             
3917,MA,MA,25,01001, 4,1,0,4,Y, , 2, 1, 61,1210,1520,032288,032488,     1.2,    19.7,   579.396874,0,0, 13,HAMPDEN             
3918,MA,MA,25,01001, 4,1,0,4,Y, , 2, 1, 67,1800,1800,032688,032888,     3.1,     8.1,   579.396874,0,0, 13,HAMPDEN             
3919,MA,MA,25,01008, 4,1,0,7,Y, , 3, 1, 69,1515,1515,032188,032388,     1.4,    20.5,   596.075068,0,0, 13,HAMPDEN             
3920,MA,MA,25,01008, 4,1,1,7,Y, , 2, 1,  9,2100,0635,033188,040488,     0.4,     0.0,   579.396874,0,0, 13,HAMPDEN             
3921,MA,MA,25,01010, 4,1,0,4,Y, , 4, 1, 35,0730,0730,031488,031688,     0.9,    17.7,   628.910680,0,0, 13,HAMPDEN             
3922,MA,MA,25,01010, 4,1,1,3,N, , 3, 1, 51,2200,2200,031988,032288,     0.5,     0.0,   596.075068,0,0, 13,HAMPDEN             
3923,MA,MA,25,01013, 4,2,0,4,Y, , 2, 1, 46,1800,1800,032288,032488,     0.8,    30.3,   579.396874,0,0, 13,HAMPDEN             
3924,MA,MA,25,01013, 4,1,0,4,Y, , 3, 1, 65,1400,1415,032188,032388,     1.3,    22.8,   596.075068,0,0, 13,HAMPDEN             
3925,MA,MA,25,01013, 4,1,0,4,Y, , 4, 1, 74,1031,0742,032888,033088,     1.2,    15.6,   628.910680,0,0, 13,HAMPDEN             
3926,MA,MA,25,01020, 4,1,0,4,Y, , 3, 1, 28,0930,0930,031388,031588,     1.8,    10.9,   596.075068,0,0, 13,HAMPDEN             
3927,MA,MA,25,01020, 4,1,0,7,Y, , 3, 1, 21,1745,1745,031188,031388,     1.2,    35.4,   596.075068,0,0, 13,HAMPDEN             
3928,MA,MA,25,01020, 4,1,0,4,Y, , 2, 1, 29,1315,1500,032788,032988,     1.9,    22.7,   579.396874,0,0, 13,HAMPDEN             
3929,MA,MA,25,01020, 4,1,0,2,Y, , 5, 1, 41,1100,1100,031688,031888,     1.2,    17.1,   625.019977,0,0, 13,HAMPDEN             
3930,MA,MA,25,01020, 4,1,0,4,Y, , 4, 1, 47,0715,0720,031888,032088,     2.2,    10.8,   628.910680,0,0, 13,HAMPDEN             
3931,MA,MA,25,01020, 4,1,0,4,Y, , 1, 1, 38,0900,0935,031788,031988,     2.2,     9.8,   649.239482,0,0, 13,HAMPDEN             
3932,MA,MA,25,01020, 4,1,0,4,Y, , 2, 1, 63,1530,1530,032188,032388,     1.7,    19.9,   579.396874,0,0, 13,HAMPDEN             
3933,MA,MA,25,01020, 4,1,0,4,Y, , 2, 1, 87,1530,1510,032388,032588,     4.6,     7.3,   579.396874,0,0, 13,HAMPDEN             
3934,MA,MA,25,01020, 4,1,0,4,Y, , 3, 1,105,1230,1230,040488,040488,     4.7,     6.5,   596.075068,0,0, 13,HAMPDEN             
3935,MA,MA,25,01022, 4,2,0,2,Y, , 3, 1, 24,0700,0700,031488,031688,     0.9,    20.6,   596.075068,0,0, 13,HAMPDEN             
3936,MA,MA,25,01022, 4,2,1,3,N, , 4, 1, 11,1740,1958,033088,040488,     1.3,    21.8,   628.910680,0,0, 13,HAMPDEN             
3937,MA,MA,25,01028, 4,1,0,0,Y, , 2, 1, 35,0830,1930,031688,031888,     1.1,    58.5,   579.396874,0,0, 13,HAMPDEN             
3938,MA,MA,25,01028, 4,1,1,3,N, , 1, 1, 53,2000,0700,031488,031788,     0.9,    27.6,   649.239482,0,0, 13,HAMPDEN             
3939,MA,MA,25,01028, 4,1,0,4,Y, , 4, 1, 59,1800,1900,032188,032488,     0.8,    20.5,   628.910680,0,0, 13,HAMPDEN             
3940,MA,MA,25,01028, 4,1,0,4,Y, , 3, 1, 58,1900,1900,031688,031888,     2.3,     9.9,   596.075068,0,0, 13,HAMPDEN             
3941,MA,MA,25,01028, 4,0,9,0, , , 2, 1, 89,0945,1000,032688,032888,     0.3,     0.0,   579.396874,0,0, 13,HAMPDEN             
3942,MA,MA,25,01028, 4,1,0,4,Y, , 1, 1, 76,1430,1230,032888,033188,     1.4,    16.0,   649.239482,0,0, 13,HAMPDEN             
3943,MA,MA,25,01030, 4,0,9,0,0, , 3, 1, 21,2000,2000,030388,031188,     1.3,    16.6,   596.075068,0,0, 13,HAMPDEN             
3944,MA,MA,25,01030, 4,1,0,4,Y, , 4, 1, 48,1015,0712,032988,033188,     1.0,    26.7,   628.910680,0,0, 13,HAMPDEN             
3945,MA,MA,25,01030, 4,1,0,4,Y, , 2, 1, 62,1610,1520,032288,032588,     0.8,    71.6,   579.396874,0,0, 13,HAMPDEN             
3946,MA,MA,25,01030, 4,1,0,4,Y, , 1, 1, 90,0900,0900,032788,032988,     1.8,    11.4,   649.239482,0,0, 13,HAMPDEN             
3947,MA,MA,25,01030, 4,2,0,4,Y, , 2, 1, 98,1500,1500,033188,040488,     4.0,    20.0,   579.396874,0,0, 13,HAMPDEN             
3948,MA,MA,25,01030, 4,1,0,2,Y, , 1, 1, 99,1930,1630,041288,041588,    22.9,     4.0,   649.239482,0,0, 13,HAMPDEN             
3949,MA,MA,25,01036, 4,1,0,4,Y, , 4, 1, 97,1925,1830,032788,033188,     1.3,    25.9,   628.910680,0,0, 13,HAMPDEN             
3950,MA,MA,25,01036, 4,0,9,0, , , 1, 1,  9,1115,1110,033188,040488,     0.8,    28.5,   649.239482,0,0, 13,HAMPDEN             
3951,MA,MA,25,01040, 4,1,0,4,Y, , 5, 1, 31,2215,2223,032788,032988,     4.0,    16.1,   625.019977,0,0, 13,HAMPDEN             
3952,MA,MA,25,01040, 4,2,0,4,Y, , 1, 1, 46,1800,1800,032088,032288,     0.1,     0.0,   649.239482,0,0, 13,HAMPDEN             
3953,MA,MA,25,01040, 4,1,0,0,Y, , 2, 1, 64,1010,1010,032688,032888,     1.3,    16.5,   579.396874,0,0, 13,HAMPDEN             
3954,MA,MA,25,01040, 4,1,9,4,Y, , 2, 1, 69,1830,1930,040488,040488,     2.5,    63.6,   579.396874,0,0, 13,HAMPDEN             
3955,MA,MA,25,01040, 4,1,0,0,Y, , 3, 1, 93,0700,0700,032688,032888,     2.9,    15.7,   596.075068,0,0, 13,HAMPDEN             
3956,MA,MA,25,01040, 4,1,0,4,Y, , 3, 1, 95,0730,0730,040488,040488,     1.5,    11.7,   570.611732,0,0, 13,HAMPDEN             
3957,MA,MA,25,01040, 4,1,0,4,Y, , 4, 1, 79,1630,1830,032588,032788,     1.8,    10.4,   628.910680,0,0, 13,HAMPDEN             
3958,MA,MA,25,01040, 4,1,0,2,Y, , 2, 1,  8,1700,1700,032388,032588,     2.9,     8.2,   579.396874,0,0, 13,HAMPDEN             
3959,MA,MA,25,01040, 4,0,9,0, , , 4, 1,  4,1230,1230,033188,040488,     1.3,    19.2,   628.910680,0,0, 13,HAMPDEN             
3960,MA,MA,25,01056, 4,1,0,4,Y, , 1, 1, 37,1330,1330,032388,032588,     0.2,     0.0,   649.239482,0,0, 13,HAMPDEN             
3961,MA,MA,25,01056, 4,1,0,4,Y, , 3, 1, 62,0730,0840,032888,033088,     4.5,    12.6,   596.075068,0,0, 13,HAMPDEN             
3962,MA,MA,25,01056, 4,0,9,0,0, , 2, 1, 73,1530,0000,031788,010199,     0.0,     0.0,   579.396874,0,0, 13,HAMPDEN             
3963,MA,MA,25,01056, 4,1,0,4,Y, , 4, 1, 82,1400,1400,032088,032288,     4.8,     5.3,   628.910680,0,0, 13,HAMPDEN             
3964,MA,MA,25,01056, 4,1,0,4,Y, , 2, 1, 84,2000,2000,040488,040488,     3.7,    12.0,   579.396874,0,0, 13,HAMPDEN             
3965,MA,MA,25,01056, 4,1,0,4,Y, , 2, 1,  5,0900,0900,032688,032888,     4.6,    18.2,   579.396874,0,0, 13,HAMPDEN             
3966,MA,MA,25,01056, 4,1,0,7,Y, , 3, 1,  9,1300,1330,032588,032788,     3.4,     6.8,   596.075068,0,0, 13,HAMPDEN             
3967,MA,MA,25,01057, 4,1,0,7,Y, , 2, 1, 24,2005,2005,030388,031088,     0.8,    30.2,   579.396874,0,0, 13,HAMPDEN             
3968,MA,MA,25,01057, 4,1,0,4,Y, , 3, 1, 57,0730,0922,033088,040488,     0.5,    41.9,   596.075068,0,0, 13,HAMPDEN             
3969,MA,MA,25,01057, 4,1,0,2, , , 1, 1, 60,1200,1201,031988,032188,     0.7,    22.0,   649.239482,0,0, 13,HAMPDEN             
3970,MA,MA,25,01057, 4,1,0,4,Y, , 5, 1, 68,1340,1345,032388,032588,     2.0,    11.8,   625.019977,0,0, 13,HAMPDEN             
3971,MA,MA,25,01057, 4,1,0,4,Y, , 2, 1, 96,0730,0800,033088,040488,     3.0,     9.1,   579.396874,0,0, 13,HAMPDEN             
3972,MA,MA,25,01069, 4,1,0,4,Y, , 2, 1, 32,1515,1600,030388,030388,     0.6,    38.0,   579.396874,1,0, 13,HAMPDEN             
3973,MA,MA,25,01069, 4,1,0,4,Y, , 5, 1, 53,2120,2120,032888,033088,     1.0,    20.2,   625.019977,0,0, 13,HAMPDEN             
3974,MA,MA,25,01069, 4,1,1,2,Y, , 4, 1, 81,1800,1815,032588,032788,     0.8,    25.3,   628.910680,0,0, 13,HAMPDEN             
3975,MA,MA,25,01069, 4,2,0,4,Y, , 3, 1,104,1630,1630,040488,041188,     1.4,    13.5,   596.075068,0,0, 13,HAMPDEN             
3976,MA,MA,25,01069, 4,1,0,4,Y, , 3, 1, 10,0940,0940,033188,040488,     1.2,    13.7,   596.075068,0,0, 13,HAMPDEN             
3977,MA,MA,25,01077, 4,1,0,4,Y, , 4, 1, 52,1700,1700,032188,032388,     0.6,    61.5,   628.910680,0,0, 13,HAMPDEN             
3978,MA,MA,25,01077, 4,1,0,4,Y, , 1, 1, 87,1400,1700,032688,032888,     2.1,    10.5,   649.239482,0,0, 13,HAMPDEN             
3979,MA,MA,25,01077, 4,1,0,7,Y, , 4, 1,100,0630,0631,032888,033088,     2.0,    10.2,   628.910680,0,0, 13,HAMPDEN             
3980,MA,MA,25,01077, 4,0,9,0, , , 2, 1,104,1130,1130,040488,040488,     0.3,     0.0,   579.396874,0,0, 13,HAMPDEN             
3981,MA,MA,25,01080, 4,2,0,4,Y, , 4, 1,102,0645,0645,032688,032888,     0.3,     0.0,   628.910680,1,0, 13,HAMPDEN             
3982,MA,MA,25,01085, 4,1,0,4,Y, , 4, 1, 22,1700,1700,031088,031288,     1.0,    23.7,   628.910680,0,0, 13,HAMPDEN             
3983,MA,MA,25,01085, 4,1,0,4,Y, , 4, 1, 33,1400,1400,031288,031488,     5.0,     5.7,   628.910680,0,0, 13,HAMPDEN             
3984,MA,MA,25,01085, 4,2,0,4,Y, , 5, 1, 30,1810,1858,032788,032988,     1.1,    19.1,   625.019977,0,0, 13,HAMPDEN             
3985,MA,MA,25,01085, 4,1,0,4,Y, , 1, 1, 44,1100,1100,031988,032188,     3.0,     6.4,   649.239482,0,0, 13,HAMPDEN             
3986,MA,MA,25,01085, 4,1,0,4,Y, , 5, 1, 93,2215,2215,032888,033088,     0.4,     0.0,   625.019977,0,0, 13,HAMPDEN             
3987,MA,MA,25,01085, 4,1,0,4,Y, , 1, 1, 90,1740,1910,032488,032688,     6.4,     5.4,   649.239482,0,0, 13,HAMPDEN             
3988,MA,MA,25,01085, 4,1,0,4,Y, , 3, 1, 96,1730,1730,032888,033088,     2.3,    13.7,   596.075068,0,0, 13,HAMPDEN             
3989,MA,MA,25,01085, 4,2,0,4,Y, , 3, 1, 98,0955,1000,040488,040488,     1.4,    16.8,   596.075068,0,0, 13,HAMPDEN             
3990,MA,MA,25,01085, 4,1,0,4,Y, , 2, 1,105,0800,1900,041388,041588,     1.3,    15.2,   579.396874,0,0, 13,HAMPDEN             
3991,MA,MA,25,01085, 4,1,0,4,Y, , 4, 1,  2,2130,2130,032788,032988,     4.4,     5.4,   628.910680,0,0, 13,HAMPDEN             
3992,MA,MA,25,01085, 4,1,0,4,Y, , 5, 1,  6,1700,1700,033088,040488,     2.9,    11.4,   625.019977,0,0, 13,HAMPDEN             
3993,MA,MA,25,01085, 4,1,0,4,Y, , 3, 1,  8,1100,1130,033188,040488,     3.0,     9.6,   596.075068,0,0, 13,HAMPDEN             
3994,MA,MA,25,01085, 4,1,0,4,Y, , 5, 1,  2,0700,0700,033088,040488,     0.9,    22.9,   625.019977,0,0, 13,HAMPDEN             
3995,MA,MA,25,01089, 4,1,0,4,Y, , 4, 1, 31,0800,0900,041488,041688,     1.5,    40.7,   628.910680,0,0, 13,HAMPDEN             
3996,MA,MA,25,01089, 4,0,9,0,0, , 2, 1, 65,1530,1745,040488,040488,     8.1,     6.7,   579.396874,0,0, 13,HAMPDEN             
3997,MA,MA,25,01089, 4,1,0,4,Y, , 4, 1, 76,1900,1900,032488,032688,     0.8,    24.0,   628.910680,0,0, 13,HAMPDEN             
3998,MA,MA,25,01089, 4,1,0,7,Y, , 4, 1,110,2230,1015,040488,041188,     0.9,    19.9,   628.910680,0,0, 13,HAMPDEN             
3999,MA,MA,25,01095, 4,1,0,2,Y, , 2, 1, 31,1845,1845,031588,031788,     0.7,    34.6,   579.396874,0,0, 13,HAMPDEN             
4000,MA,MA,25,01095, 4,1,0,7,Y, , 2, 1, 36,1700,1730,032088,032288,     5.3,     7.7,   579.396874,0,0, 13,HAMPDEN             
4001,MA,MA,25,01095, 4,1,0,7,Y, , 4, 1, 51,2145,2145,032188,032388,     6.3,     5.6,   628.910680,0,0, 13,HAMPDEN             
4002,MA,MA,25,01095, 4,1,0,7,Y, , 2, 1, 59,2100,1045,031788,031988,     1.8,    37.0,   579.396874,0,0, 13,HAMPDEN             
4003,MA,MA,25,01095, 4,1,0,0,Y, , 5, 1, 95,1830,1835,032988,033188,     2.3,    11.4,   625.019977,0,0, 13,HAMPDEN             
4004,MA,MA,25,01095, 4,1,0,4,Y, , 1, 1,  7,1700,1700,032688,032888,     2.3,     9.8,   649.239482,0,0, 13,HAMPDEN             
4005,MA,MA,25,01104, 4,2,0,4, , , 5, 1, 33,1015,1515,040488,040488,     1.9,    34.8,   625.019977,0,0, 13,HAMPDEN             
4006,MA,MA,25,01104, 4,1,0,4,Y, , 3, 1, 52,1310,1310,032288,032488,     1.3,    18.6,   596.075068,0,0, 13,HAMPDEN             
4007,MA,MA,25,01104, 4,1,0,4,Y, , 1, 1, 82,1710,1730,032388,032588,     1.5,    17.6,   649.239482,0,0, 13,HAMPDEN             
4008,MA,MA,25,01104, 4,1,0,4,Y, , 2, 1, 72,1000,1000,033088,040488,     1.5,    15.5,   579.396874,0,0, 13,HAMPDEN             
4009,MA,MA,25,01104, 4,1,0,0,Y, , 3, 1, 92,1040,1050,032588,032788,     0.8,    26.0,   596.075068,0,0, 13,HAMPDEN             
4010,MA,MA,25,01104, 4,1,0,0,Y, , 3, 1, 87,1443,1500,032488,032688,     1.9,    19.8,   596.075068,0,0, 13,HAMPDEN             
4011,MA,MA,25,01106, 4,1,0,4,Y, , 1, 1, 32,2059,2106,032888,033088,     0.7,    39.2,   649.239482,0,0, 13,HAMPDEN             
4012,MA,MA,25,01106, 4,1,0,0,Y, , 4, 1, 69,2020,2020,032188,032388,     1.2,    24.0,   628.910680,0,0, 13,HAMPDEN             
4013,MA,MA,25,01106, 4,1,0,4,Y, , 1, 1, 56,1740,1650,033188,040488,     1.3,    13.8,   649.239482,0,0, 13,HAMPDEN             
4014,MA,MA,25,01106, 4,1,0,4,Y, , 5, 1, 94,2030,2012,033188,040488,     0.9,    31.9,   625.019977,0,0, 13,HAMPDEN             
4015,MA,MA,25,01106, 4,1,0,4,Y, , 2, 1, 93,1555,1600,032488,032688,     1.2,    20.2,   579.396874,0,0, 13,HAMPDEN             
4016,MA,MA,25,01106, 4,0,9,0, , , 2, 1, 11,1400,1800,040488,040488,     1.1,    18.3,   579.396874,0,0, 13,HAMPDEN             
4017,MA,MA,25,01106, 4,1,0,5,Y, , 5, 1,  4,1930,1930,032988,033188,     0.9,    26.2,   625.019977,0,0, 13,HAMPDEN             
4018,MA,MA,25,01106, 4,0,9,0,0, , 2, 1,  2,2200,2200,040488,040488,     0.2,     0.0,   579.396874,0,0, 13,HAMPDEN             
4019,MA,MA,25,01107, 4,1,0,4,Y, , 4, 1, 41,1930,1930,032888,033088,     0.3,     0.0,   628.910680,0,0, 13,HAMPDEN             
4020,MA,MA,25,01108, 4,1,0,4,Y, , 5, 1, 31,2015,2000,031688,031888,     0.2,     0.0,   625.019977,0,0, 13,HAMPDEN             
4021,MA,MA,25,01108, 4,1,0,4,Y, , 1, 1, 70,2100,2105,032888,033088,     0.6,    48.5,   649.239482,0,0, 13,HAMPDEN             
4022,MA,MA,25,01108, 4,1,0,4,Y, , 4, 1, 74,1815,1815,040488,040488,     1.0,    29.1,   628.910680,0,0, 13,HAMPDEN             
4023,MA,MA,25,01108, 4,1,0,4,Y, , 3, 1,103,1315,1525,033088,040488,     1.2,    27.4,   596.075068,0,0, 13,HAMPDEN             
4024,MA,MA,25,01109, 4,1,0,4,Y, , 2, 1, 39,1600,2200,031688,031888,     1.2,    15.5,   579.396874,1,0, 13,HAMPDEN             
4025,MA,MA,25,01109, 4,1,0,4,Y, , 4, 1, 67,1630,1630,032388,032588,     3.1,    20.5,   628.910680,0,0, 13,HAMPDEN             
4026,MA,MA,25,01109, 4,1,0,4,Y, , 5, 1,106,0935,0940,041988,042188,     1.3,    19.8,   625.019977,0,0, 13,HAMPDEN             
4027,MA,MA,25,01109, 4,2,1,1,Y, , 4, 1,106,0702,0715,040488,040488,     0.4,     0.0,   628.910680,0,0, 13,HAMPDEN             
4028,MA,MA,25,01118, 4,1,0,4,Y, , 4, 1, 82,2000,2000,032088,032288,     0.6,    56.5,   628.910680,0,0, 13,HAMPDEN             
4029,MA,MA,25,01118, 4,1,0,2,Y, , 5, 1, 64,1830,1830,032988,033188,     1.2,    18.5,   625.019977,0,0, 13,HAMPDEN             
4030,MA,MA,25,01118, 4,1,0,4,Y, , 5, 1, 85,0815,0815,040488,040488,     1.3,    18.0,   625.019977,0,0, 13,HAMPDEN             
4031,MA,MA,25,01118, 4,1,0,4,Y, , 3, 1,100,1230,1230,032988,033188,     1.9,    13.5,   596.075068,0,0, 13,HAMPDEN             
4032,MA,MA,25,01119, 4,1,9,4, , , 5, 1, 30,0900,0900,032188,032388,     2.1,    20.5,   625.019977,0,0, 13,HAMPDEN             
4033,MA,MA,25,01119, 4,1,0,4,Y, , 1, 1, 95,0830,0945,032588,032788,     1.2,    19.5,   649.239482,0,0, 13,HAMPDEN             
4034,MA,MA,25,01119, 4,0,9,0,0, , 3, 1, 74,1145,0000,040488,040488,     1.2,    27.1,   596.075068,0,0, 13,HAMPDEN             
4035,MA,MA,25,01128, 4,1,0,4,Y, , 4, 1, 66,1500,0800,032388,032688,     1.3,    19.5,   628.910680,1,0, 13,HAMPDEN             
4036,MA,MA,25,01128, 4,1,0,0,Y, , 2, 1,106,1317,1700,040488,040488,     2.7,    17.2,   579.396874,0,0, 13,HAMPDEN             
4037,MA,MA,25,01129, 4,1,0,4,Y, , 1, 1, 66,1415,1410,032388,032588,     0.4,     0.0,   649.239482,0,0, 13,HAMPDEN             
4038,MA,MA,25,01151, 4,1,0,0, , , 1, 1, 51,1330,1330,032188,032388,     1.9,    14.3,   649.239482,0,0, 13,HAMPDEN             
4039,MA,MA,25,01002, 2,1,0,0,Y, , 3, 1, 24,1600,0730,031388,031688,     0.7,    24.4,   570.611732,0,0, 15,HAMPSHIRE           
4040,MA,MA,25,01002, 2,1,0,4,Y, , 1, 1, 45,0630,0800,031888,032088,     4.4,     6.5,   626.564595,0,0, 15,HAMPSHIRE           
4041,MA,MA,25,01002, 2,1,0,4,Y, , 2, 1, 51,1745,1800,033088,040488,     3.5,     7.6,   597.856753,0,0, 15,HAMPSHIRE           
4042,MA,MA,25,01002, 2,1,0,2,Y, , 4, 1, 52,1900,1900,032288,032488,     1.3,    16.3,   559.831699,0,0, 15,HAMPSHIRE           
4043,MA,MA,25,01002, 2,1,0,4,Y, , 2, 1, 72,2015,2035,032388,032588,     7.0,     5.6,   597.856753,0,0, 15,HAMPSHIRE           
4044,MA,MA,25,01002, 2,1,1,3,N, , 5, 1, 86,1600,1600,032288,032488,     1.9,    18.4,   625.019977,0,0, 15,HAMPSHIRE           
4045,MA,MA,25,01002, 2,1,0,4,Y, , 2, 1, 90,0750,1100,032288,032488,     8.2,     4.1,   597.856753,0,0, 15,HAMPSHIRE           
4046,MA,MA,25,01002, 2,1,0,2,Y, , 1, 1,104,1515,1520,032988,033188,     3.2,     8.1,   626.564595,0,0, 15,HAMPSHIRE           
4047,MA,MA,25,01007, 2,1,0,2,Y, , 1, 1, 58,1245,1245,032288,032488,     2.1,    13.0,   626.564595,0,0, 15,HAMPSHIRE           
4048,MA,MA,25,01007, 2,1,0,4,Y, , 1, 1, 93,1945,1945,032888,033088,     7.6,     6.0,   626.564595,0,0, 15,HAMPSHIRE           
4049,MA,MA,25,01007, 2,1,1,3,N, , 4, 1, 94,1630,1815,032588,032788,     0.8,    29.5,   559.831699,1,0, 15,HAMPSHIRE           
4050,MA,MA,25,01012, 2,1,0,4,Y, , 2, 1, 21,1800,1800,030388,031188,     1.3,    16.3,   597.856753,0,0, 15,HAMPSHIRE           
4051,MA,MA,25,01027, 2,1,0,4,Y, , 4, 1, 44,0700,0700,032488,032688,     2.1,     9.2,   559.831699,1,0, 15,HAMPSHIRE           
4052,MA,MA,25,01027, 2,1,1,1,N, , 4, 1, 51,2000,2000,032788,032988,     4.2,     6.6,   559.831699,0,0, 15,HAMPSHIRE           
4053,MA,MA,25,01027, 2,1,0,7,Y, , 3, 1, 71,0915,0915,040488,040488,     1.3,    16.7,   570.611732,0,0, 15,HAMPSHIRE           
4054,MA,MA,25,01027, 2,1,0,4,Y, , 5, 1, 92,1000,1009,032588,032788,     5.0,     5.5,   641.182997,0,0, 15,HAMPSHIRE           
4055,MA,MA,25,01027, 2,1,0,2,Y, , 1, 1, 96,1840,1845,032488,032688,     3.2,     8.7,   626.564595,0,0, 15,HAMPSHIRE           
4056,MA,MA,25,01027, 2,1,0,7,Y, , 5, 1,  4,2145,2306,040488,040488,     1.9,    13.4,   641.182997,0,0, 15,HAMPSHIRE           
4057,MA,MA,25,01027, 2,1,0,2,Y, , 4, 1,  1,1330,2000,040488,040488,     5.7,     7.0,   559.831699,0,0, 15,HAMPSHIRE           
4058,MA,MA,25,01033, 2,1,0,1,Y, , 1, 1, 73,0645,0815,033188,040488,     0.7,    20.2,   626.564595,0,0, 15,HAMPSHIRE           
